time;ay (m/s^2)
11781856;0.3205
11789086;0.1761
1179749;0.0113
11804729;-0.1519
11812997;0.0434
1182102;0.1481
11829162;0.3039
11840859;0.2400
11845272;0.2812
11852907;0.5306
11861227;0.5593
11869255;0.5809
1187706;0.4784
11885104;0.3522
11894353;0.2603
11900514;0.1989
