time;ay (m/s^2)
2661329;0.0390
2669442;0.0117
2677952;0.0108
2684614;-0.0306
2693477;-0.0457
2702757;-0.0797
2709315;-0.0542
2717283;-0.0667
2725707;-0.0641
2733467;-0.0273
2741818;-0.0180
2749748;0.0091
2757382;0.0604
2766579;0.1044
2774695;0.1695
2783053;0.2144
2789466;0.2674
2802376;0.2663
2805544;0.2209
2813404;0.2032
2821744;0.1586
2829263;0.1159
2838014;0.0856
2845266;0.0392
2853662;0.0268
2861527;-0.0088
2870385;-0.0412
2876584;-0.0564
2885327;-0.0763
2893244;-0.1031
2902552;-0.0725
2909378;-0.0877
2917389;0.0189
2925355;0.0008
2933761;0.0422
2941343;0.0815
2950302;0.0876
2957601;0.0895
2967174;0.0916
2973197;0.0942
2983087;0.0950
298966;0.0697
2997501;0.0782
3005605;0.0896
3016194;0.0841
3020648;0.1024
3029171;0.0872
3037301;0.0693
3045131;0.0920
3053711;0.0641
3061759;0.0266
3068752;0.0107
3077337;0.0311
3085521;0.0537
3093603;0.0785
3107402;0.0837
3109466;0.1145
3116746;0.0899
3125424;0.0624
3134887;0.0585
3141523;0.0259
3149916;0.0413
3158143;0.0306
3166334;0.0393
3173406;0.0340
3183716;0.0124
3189701;-0.0087
3202905;-0.0412
3205785;-0.0518
3212833;-0.0572
3222027;-0.0243
3229628;-0.0180
3237826;0.0121
3245796;0.0109
3254834;0.0140
3260953;-0.0022
3269748;-0.0018
3278038;0.0201
3285536;0.0154
3293916;0.0204
3303772;0.0251
3308806;0.0486
3318936;0.0218
3325377;-0.0049
3333453;0.0022
3341337;0.0191
3350204;-0.0356
3356941;-0.0087
3367471;-0.0220
3374149;-0.0444
3383711;-0.0377
3389779;-0.0235
3397739;-0.0163
3406165;-0.0211
3413895;-0.0142
3422345;0.0191
3429746;0.0330
343759;0.0348
3446769;0.0560
3452992;0.0777
3461972;0.0756
3469375;0.0645
3478219;0.0561
3485458;0.0381
3495027;0.0078
3501993;0.0032
3509403;0.0033
3517294;-0.0016
3526231;-0.0161
3534443;-0.0427
3542253;-0.0674
3550883;-0.0447
3557849;-0.0282
3567726;-0.0271
3573598;-0.0120
3583827;0.0103
3589515;0.0543
3597364;0.0677
3605809;0.1200
3613932;0.1366
3622059;0.1462
3629582;0.1487
3638641;0.1392
3644843;0.1318
3653562;0.1122
3661494;0.1283
3669592;0.1296
3677471;0.1186
3687198;0.0788
3693192;0.0437
3701222;0.0207
3709574;0.0262
3718111;-0.0115
3725786;-0.0255
3734349;-0.0228
3740735;-0.0012
375061;-0.0371
3757802;-0.0011
3767491;-0.0228
3773745;0.0058
3784011;0.0033
3789069;0.0274
3797816;0.0449
3806076;0.0578
3813657;0.0546
3822026;0.0685
3829889;0.0923
383695;0.0997
3845321;0.0688
3853954;0.0426
386187;0.0500
3870381;0.0334
3877282;0.0190
3887625;0.0141
3893686;0.0212
3901327;-0.0005
3909517;0.0428
3917559;0.0504
3925903;0.0607
3934289;0.0925
394189;0.1171
3951492;0.0981
3957477;0.1123
3967687;0.1188
397479;0.1180
3981284;0.0690
3989982;0.0461
3997706;0.0209
4005234;-0.0091
4013298;-0.0082
4021934;-0.0026
4029131;0.0173
4038053;0.0564
4045442;0.0669
4053566;0.0297
4061357;0.0431
4071067;0.0235
4076686;0.0351
4085703;0.0209
4093304;0.0261
4101506;0.0242
