           ay
time       (m/s^2)
0,001439   -0,0324
0,005193   0,0493
0,013981   0,0849
0,021102   0,0927
0,02945    0,1019
0,036993   0,0791
0,044342   0,0452
0,052962   -0,0221
0,060766   -0,0434
0,068955   -0,0649
0,077134   -0,0743
0,085264   -0,0587
0,092543   -0,0631
0,101006   -0,0805
0,108994   -0,0848
0,117268   -0,0835
0,124867   -0,0623
0,133473   -0,0518
0,140279   -0,0234
0,149243   0,0203
0,156956   0,0576
0,165112   0,0782
0,172987   0,0678
0,181489   0,0738
0,188438   0,0786
0,197146   0,1088
0,205029   0,0737
0,213475   0,0624
0,221017   0,0583
0,229744   0,0208
0,236519   -0,0355
0,246097   -0,0509
0,252959   -0,0477
0,260911   -0,0859
0,269011   -0,1085
0,277297   -0,1056
0,284463   -0,1202
0,292959   -0,1066
0,301093   -0,0988
0,309241   -0,0793
0,3172     -0,0601
0,324945   -0,0431
0,332719   -0,0207
0,34106    -0,0118
0,34936    -0,009
0,35722    0,0091
0,36568    0,038
0,374028   0,0511
0,382208   0,065
0,389618   0,0608
0,399956   0,0309
0,405403   0,0186
0,415116   -0,0124
0,421332   -0,0575
0,43013    -0,0522
0,437146   -0,0282
0,446376   -0,0285
0,452968   -0,0206
0,460933   0,0002
0,469283   -0,0188
0,476433   -0,0299
0,485206   0,0217
0,493141   -0,0024
0,501048   0,0247
0,509021   0,0411
0,517046   0,014
0,524446   0,0201
0,533118   0,0239
0,540988 0,0278
0,549241   0,049
0,557734   0,0443
0,565563   0,0479
0,573278   0,0481
0,581876   0,0495
0,589645   0,0232
0,600075   0,0556
0,605796   0,0431
0,614429   0,0145
0,62071    0,0373
0,631496   0,0675
0,63779    0,0452
0,64557    0,0781
0,653824   0,0823
0,661701   0,0768
0,670241   0,0953
0,677517   0,0654
0,68579    0,0565
0,693675   0,0253
0,701679   0,0769
0,70966    0,0938
0,716794   0,0718
0,725741   0,0923
0,733406   0,0983
0,741663   0,0966
0,74954    0,1063
0,757912   0,1079
0,764795   0,0995
0,773593   0,0856
0,781925   0,0672
0,789518   0,0919
0,800922   0,0668
0,807108   0,0666
0,812727   0,0836
0,821718   0,0751
0,832062   0,1107
0,837646   0,1422
0,84815    0,0933
0,853973   0,0785
0,860701   0,0831
0,869689   0,0493
0,877641   0,0244
0,886022   0,0133
0,893446   0,0427
0,901511   0,0501
0,908975   0,0047
0,917602   -0,0506
0,925355   -0,0877
0,933199   -0,1018
0,941824   -0,0812
0,949794   -0,0664
0,957385   -0,0302
0,965245   -0,0059
0,973705   0,0095
0,982495   0,0356
0,989481   0,0848
1,000795   0,0924
1,005395   0,1041
1,014967   0,131
1,021311   0,1107
1,031973   0,096
1,037728   0,1028
1,045667   0,0979
1,053559   0,067
1,061695   0,0456
1,069967   0,0479
1,077698   0,0092
1,086098   -0,0397
1,093847   -0,0583
1,100604 -0,042
1,109356   -0,0171
1,117447   -0,0219
1,125617   -0,0443
1,13341    -0,0028
1,141889   -0,0102
1,148598   -0,0012
1,157727   0,058
1,165351   0,0576
1,174176   0,0601
1,182124   0,0512
